報告日期,標題,公司,代號,買進日期,買進價格,賣出日期,賣出價格,報酬率(%),狀態
2025-07-15,🔥【強力買進】台幣升值受惠產業+機票下修雙利多，目前訂單能見度已達今年第四季,五福,2745,2025-07-16,127.75,2025-09-15,116.5,-8.8,已結算
2025-07-11,【買進】資安軟體代理商，訂閱制與海外布局雙動能，擁高市占轉單紅利,零壹,3029,2025-07-14,108.69,2025-09-12,118.7,9.21,已結算
2025-07-08,【買進】第二大代工廠，滿載迎接旺季出貨，獲利毛利雙增!,廣越,4438,2025-07-09,78.11,2025-09-08,74.2,-5.0,已結算
2025-07-04,【買進】手握近年最大工程統包案，認列快毛利高的半導體案+長營收穩的公共案，雙重接案！,亞翔,6139,2025-07-07,287.31,2025-09-05,361.0,25.65,已結算
2025-07-01,【買進】SWITCH 2遊戲機持續追加訂單，帶動風扇產品迎來強勁成長動能，預估2Q25營收將創高,茂達,6138,2025-07-02,174.68,2025-09-01,175.5,0.47,已結算
2025-06-27,【買進】台積電設備廠，先進製程成台積電營收來源，設備急拉貨,華景電,6788,2025-06-30,233.0,2025-08-29,289.5,24.25,已結算
2025-06-23,【買進】無塵室機電系統整合廠，廠務工程訂單飆升，全球建廠潮引爆營收動能,聖暉,5536,2025-06-24,397.86,2025-08-25,729.97,83.48,已結算
2025-06-17,【買進】多樣化伺服器解決方案廠商，新產能4Q25開始貢獻，有效降低關稅風險!,迎廣,6117,2025-06-18,96.27,2025-08-18,94.9,-1.42,已結算
2025-06-10,【買進】AI伺服器連接器新兵，當AI與高速運算一飛衝天，誰掌握了背後那條不起眼的線 ?,宏致,3605,2025-06-11,55.45,2025-08-11,66.64,20.18,已結算
2025-06-06,【買進】提高眼睛肺活量廠商，矽水膠不只是升級版，它是隱形眼鏡界的「肺活量王者」！,視陽,6782,2025-06-09,184.93,2025-08-08,197.5,6.8,已結算
2025-06-03,【買進】SWITCH 感測大廠，二代來勢洶洶，有望成為富二代 ?,原相,3227,2025-06-04,211.77,2025-08-04,200.0,-5.56,已結算
2025-05-29,【買進】任天堂開賣受惠股，台灣預計7/10開始販售SWITCH 2，動能來襲！,展碁國際,6776,2025-06-02,53.37,2025-08-04,56.8,6.43,已結算
2025-05-27,🔥【強力買進】內需無塵室機電工程統包廠，龍頭率先創歷史新高，族群有望一同被帶動！,洋基,6691,2025-05-28,372.63,2025-07-28,418.0,12.18,已結算
2025-05-09,【買進】拿下全球前十大電信商訂單，搭上網安+訂閱制雙成長引擎，2025年獲利有望重返高峰,立端,6245,2025-05-12,77.23,2025-07-11,73.32,-5.06,已結算
2025-05-06,🔥【強力買進】巨星開唱受惠概念股，演唱會門票靠自己賺,必應,6625,2025-05-07,70.77,2025-07-07,106.0,49.78,已結算
2025-05-02,【買進】無人機軍武浪潮狂飆，搶吃高毛利國防大餅，供應鏈將大幅受惠,,3416,2025-05-05,134.44,2025-07-04,144.0,7.11,已結算
2025-04-28,🔥【強力買進】智慧醫療成長，工控蓄勢待發，博弈客戶今年成長2成,安勤,3479,,,,,,無資料
