article_id,date,title,company_name,stock_code,sweet_price,target_price,crazy_price,current_price_at_report,ticker,reached_target,reached_date,max_price_since
681,2025-08-15,🔥【強力買進】受惠台積電廠房建置，半導體應用佔九成，台美中建廠潮將帶動營運拉升,,4770,,368.0,,274.5,4770.TW,False,,345.0
671,2025-08-08,【買進】新市場預計2026年底出貨放量，打破壟斷，迎接高速成長,新應材,4749,550.0,842.0,,,4749.TWO,True,2025-09-01,1030.0
668,2025-08-05,【買進】聚焦「半導體」電子級化學品，高純產線Q4量產，獲利三級跳,中華化,1727,25.0,42.2,63.0,33.2,1727.TW,True,2025-08-20,63.6
665,2025-08-01,【買進】AI伺服器背後嚴格的安全與性能服務，全球紛紛搶建AI資料中心，抓住商機營運起飛,東研信超,6840,40.0,66.0,99.0,51.3,6840.TWO,True,2025-08-29,83.8
662,2025-07-29,【買進】具備實質獲利的熱門題材概念股，市場預估需求每年成長89%，準備再開新廠拚產能！,華星光,4979,160.0,252.0,,,4979.TWO,True,2025-12-03,504.0
660,2025-07-25,【買進】打入GOOGLE、AI眼鏡供應鏈，微電子業務受惠中系去美化與Wi-Fi升級雙利多,全新,2455,126.0,191.0,,146.5,2455.TW,True,2026-01-21,262.0
648,2025-07-18,🔥【強力買進】爆炸性成長220%的商機，就藏在這些「高速成長」的線材裡！,萬泰科,6190,30.0,51.0,71.0,37.9,6190.TWO,True,2025-08-11,59.5
641,2025-07-15,🔥【強力買進】台幣升值受惠產業+機票下修雙利多，目前訂單能見度已達今年第四季,五福,2745,120.0,190.0,,134.5,2745.TWO,False,,133.9
635,2025-07-11,【買進】資安軟體代理商，訂閱制與海外布局雙動能，擁高市占轉單紅利,零壹,3029,112.0,144.0,180.0,113.5,3029.TW,False,,124.89
627,2025-07-08,【買進】第二大代工廠，滿載迎接旺季出貨，獲利毛利雙增!,廣越,4438,72.0,104.0,,80.7,4438.TW,False,,84.8
621,2025-07-04,【買進】手握近年最大工程統包案，認列快毛利高的半導體案+長營收穩的公共案，雙重接案！,亞翔,6139,263.0,395.0,,298.5,6139.TW,True,2025-09-11,640.0
615,2025-07-01,【買進】SWITCH 2遊戲機持續追加訂單，帶動風扇產品迎來強勁成長動能，預估2Q25營收將創高,茂達,6138,,227.0,,181.0,6138.TWO,True,2025-09-15,278.0
610,2025-06-27,【買進】台積電設備廠，先進製程成台積電營收來源，設備急拉貨,華景電,6788,192.0,303.0,367.0,,6788.TWO,True,2025-12-17,404.0
604,2025-06-23,【買進】無塵室機電系統整合廠，廠務工程訂單飆升，全球建廠潮引爆營收動能,聖暉,5536,350.0,535.0,,409.0,5536.TWO,True,2025-08-07,1008.06
602,2025-06-20,【買進】製鞋雙刀主題式報告，川普不做的大餅，台廠來做,,,,,,,,,,
595,2025-06-17,【買進】多樣化伺服器解決方案廠商，新產能4Q25開始貢獻，有效降低關稅風險!,迎廣,6117,75.0,125.0,,98.5,6117.TW,False,,106.53
585,2025-06-10,【買進】AI伺服器連接器新兵，當AI與高速運算一飛衝天，誰掌握了背後那條不起眼的線 ?,宏致,3605,47.0,70.0,,55.4,3605.TW,True,2025-08-12,84.6
580,2025-06-06,【買進】提高眼睛肺活量廠商，矽水膠不只是升級版，它是隱形眼鏡界的「肺活量王者」！,視陽,6782,,245.0,277.0,,6782.TW,False,,216.0
574,2025-06-03,【買進】SWITCH 感測大廠，二代來勢洶洶，有望成為富二代 ?,原相,3227,,281.0,,219.5,3227.TWO,False,,260.0
570,2025-05-29,【買進】任天堂開賣受惠股，台灣預計7/10開始販售SWITCH 2，動能來襲！,展碁國際,6776,55.0,71.5,90.0,56.2,6776.TW,True,2026-03-19,75.5
565,2025-05-27,🔥【強力買進】內需無塵室機電工程統包廠，龍頭率先創歷史新高，族群有望一同被帶動！,洋基,6691,,587.0,,439.0,6691.TW,True,2025-12-12,705.0
550,2025-05-16,【買進】鋼構雙劍主題式報告，當市場只看科技，我們卻看到「鋼鐵的春天」正悄悄回來！,,,,,,,,,,
537,2025-05-09,【買進】拿下全球前十大電信商訂單，搭上網安+訂閱制雙成長引擎，2025年獲利有望重返高峰,立端,6245,,106.0,141.0,80.8,6245.TWO,,,88.58
532,2025-05-06,🔥【強力買進】巨星開唱受惠概念股，演唱會門票靠自己賺,必應,6625,,99.0,126.0,73.8,6625.TW,True,2025-07-01,112.5
527,2025-05-02,【買進】無人機軍武浪潮狂飆，搶吃高毛利國防大餅，供應鏈將大幅受惠,,3416,,175.0,,139.0,3416.TW,False,,88.58
522,2025-04-28,🔥【強力買進】智慧醫療成長，工控蓄勢待發，博弈客戶今年成長2成,安勤,3479,,133.0,151.0,93.3,3479.TW,True,2025-05-02,211.0
